ApprovalFY,BorrState,loan_count,total_approval,average_loan_amount,total_sba_guaranteed,average_jobs_supported,charge_off_count,paid_in_full_count,guarantee_pct,charge_off_rate_pct,paid_in_full_rate_pct
2021,NJ,1496,1114661800.0,745094.7860962567,948197246.0,11.501336898395722,52,520,0.8506591380452797,3.4759358288770055,34.75935828877005
2021,NM,271,216597000.0,799250.9225092251,184647080.0,11.206642066420665,2,98,0.8524914010812707,0.7380073800738007,36.162361623616235
2021,NV,513,401570000.0,782787.5243664717,338859316.9,15.961013645224172,16,199,0.8438362350275169,3.1189083820662766,38.79142300194932
2021,NY,2451,1492069900.0,608759.649122807,1233587209.64,10.182782537739698,93,802,0.8267623451421412,3.7943696450428397,32.72133822929417
2021,OH,3262,1173358300.0,359705.18087063154,967467702.6,9.572348252605764,84,1322,0.8245287927822218,2.575107296137339,40.52728387492336
2021,OK,589,382606700.0,649586.9269949066,314227713.62,12.02376910016978,7,225,0.8212812625079488,1.1884550084889642,38.20033955857385
2021,OR,780,528903200.0,678081.0256410256,450301163.76,8.402564102564103,17,277,0.8513867258885935,2.1794871794871793,35.51282051282051
2021,PA,1617,977762500.0,604676.8707482993,818688146.28,11.277674706246135,46,585,0.8373077779931221,2.8447742733457018,36.178107606679035
2021,PR,411,89322900.0,217330.65693430658,61986330.0,12.819951338199514,4,136,0.693957876423627,0.9732360097323601,33.09002433090024
2021,RI,182,105522900.0,579796.1538461539,83939677.0,12.203296703296703,2,55,0.7954640840992808,1.098901098901099,30.21978021978022
2021,SC,556,541570800.0,974048.201438849,467536848.2,14.197841726618705,12,221,0.8632977409417198,2.158273381294964,39.74820143884892
2021,SD,159,77573300.0,487882.3899371069,63933488.0,9.226415094339623,5,80,0.8241687281577553,3.1446540880503147,50.314465408805034
2021,TN,581,512551900.0,882189.156626506,435776583.19,14.697074010327022,18,220,0.8502096727960622,3.098106712564544,37.8657487091222
2021,TX,4109,3935329800.0,957734.1932343636,3333662266.244,12.702604039912387,131,1389,0.8471112805447716,3.1881236310537844,33.803845217814555
2021,UT,895,616055000.0,688329.6089385474,516627204.8,14.427932960893855,26,398,0.8386056517681051,2.905027932960894,44.46927374301676
2021,VA,764,585851900.0,766821.8586387434,493110408.35,13.230366492146597,11,273,0.8416980611482185,1.4397905759162304,35.73298429319372
2021,VI,8,5253400.0,656675.0,4163800.0,12.5,0,2,0.7925914645753227,0.0,25.0
2021,VT,149,45313500.0,304117.4496644295,37190215.0,8.979865771812081,2,72,0.8207314597195097,1.342281879194631,48.32214765100671
2021,WA,1460,1100568200.0,753813.8356164383,927193782.58,10.42876712328767,13,577,0.8424682655559192,0.8904109589041096,39.52054794520548
2021,WI,1323,773599300.0,584731.141345427,646878831.28,12.839002267573695,25,497,0.8361936616023308,1.8896447467876039,37.56613756613756
2021,WV,192,87984900.0,458254.6875,69567388.0,11.026041666666666,4,76,0.790674172500054,2.0833333333333335,39.583333333333336
2021,WY,107,62127600.0,580631.7757009346,51456210.0,11.158878504672897,4,44,0.8282343113205725,3.7383177570093458,41.12149532710281
2022,AK,85,60450100.0,711177.6470588235,44625250.0,15.282352941176471,1,26,0.7382163139515071,1.1764705882352942,30.58823529411765
2022,AL,302,179599800.0,594701.3245033113,134008055.0,11.407284768211921,12,49,0.7461481304544882,3.9735099337748343,16.225165562913908
2022,AR,267,149887400.0,561376.0299625468,110664835.0,9.891385767790263,4,76,0.7383197987289125,1.4981273408239701,28.46441947565543
